epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.8575,1.92194,2.77071,1.19878,0.19166,0.66892,0.19913,0.07791,1.50611,inf,0.9963,0.000649573,0.000649573,0.000649573
2,57.2022,1.51356,1.20205,0.99772,0.76826,0.79485,0.79348,0.43739,1.46831,1.43669,1.00229,0.00130321,0.00130321,0.00130321
3,65.0641,1.432,0.91484,0.9791,0.833,0.85413,0.866,0.52409,1.27461,0.96844,0.9599,0.00194364,0.00194364,0.00194364
4,72.8149,1.37782,0.83033,0.96683,0.83833,0.87888,0.8688,0.49962,1.36099,0.99106,0.96763,0.0019406,0.0019406,0.0019406
5,80.8085,1.35992,0.8089,0.96459,0.85529,0.87917,0.88655,0.55157,1.25399,0.82215,0.95492,0.0019208,0.0019208,0.0019208
6,89.0965,1.32704,0.77816,0.95134,0.8662,0.87248,0.90496,0.57556,1.21794,0.75798,0.93975,0.001901,0.001901,0.001901
7,96.8941,1.29203,0.76867,0.94992,0.87553,0.88311,0.91397,0.57622,1.21286,0.73977,0.93318,0.0018812,0.0018812,0.0018812
8,104.788,1.27405,0.74018,0.94326,0.88295,0.88488,0.91713,0.57186,1.23439,0.73118,0.93952,0.0018614,0.0018614,0.0018614
9,112.649,1.27477,0.72418,0.94535,0.88265,0.89833,0.91564,0.59267,1.18349,0.69312,0.93074,0.0018416,0.0018416,0.0018416
10,120.59,1.26487,0.71516,0.94272,0.88956,0.8918,0.91833,0.59986,1.17918,0.68144,0.93197,0.0018218,0.0018218,0.0018218
11,128.282,1.24734,0.70567,0.93724,0.87846,0.88594,0.91255,0.59384,1.17339,0.68776,0.93394,0.001802,0.001802,0.001802
12,135.449,1.2539,0.70168,0.94033,0.88377,0.9051,0.92367,0.59546,1.18465,0.68347,0.93133,0.0017822,0.0017822,0.0017822
13,143.31,1.25125,0.70151,0.94179,0.88854,0.90525,0.927,0.59735,1.17089,0.67307,0.92977,0.0017624,0.0017624,0.0017624
14,151.28,1.23517,0.69117,0.93472,0.89174,0.90122,0.9318,0.59984,1.17876,0.6595,0.9291,0.0017426,0.0017426,0.0017426
15,159.067,1.22905,0.67998,0.9343,0.88532,0.90578,0.93098,0.61243,1.1507,0.65258,0.92843,0.0017228,0.0017228,0.0017228
16,166.734,1.21694,0.66519,0.93203,0.89133,0.89126,0.92035,0.60723,1.15469,0.65429,0.92661,0.001703,0.001703,0.001703
17,174.366,1.23518,0.68207,0.93633,0.89777,0.88997,0.93183,0.58635,1.20349,0.6645,0.92873,0.0016832,0.0016832,0.0016832
18,181.99,1.20422,0.65038,0.92839,0.89989,0.90502,0.93321,0.59826,1.18826,0.64989,0.92595,0.0016634,0.0016634,0.0016634
19,189.928,1.21459,0.65383,0.93102,0.89546,0.90328,0.9302,0.61085,1.15334,0.64683,0.92515,0.0016436,0.0016436,0.0016436
20,197.604,1.23561,0.65317,0.93275,0.89715,0.90518,0.9367,0.61245,1.16001,0.6299,0.92251,0.0016238,0.0016238,0.0016238
21,205.704,1.19748,0.64252,0.92336,0.9029,0.91001,0.93153,0.59681,1.19582,0.63271,0.9273,0.001604,0.001604,0.001604
22,213.599,1.2241,0.64163,0.92591,0.89899,0.90465,0.93378,0.61205,1.16872,0.63074,0.92416,0.0015842,0.0015842,0.0015842
23,220.743,1.20049,0.63756,0.92408,0.90115,0.894,0.93286,0.61255,1.15003,0.63785,0.92181,0.0015644,0.0015644,0.0015644
24,228.59,1.20284,0.64482,0.9299,0.89468,0.90239,0.93651,0.6175,1.13096,0.63782,0.91776,0.0015446,0.0015446,0.0015446
25,236.137,1.20966,0.64302,0.92626,0.89906,0.90215,0.93587,0.61542,1.15963,0.63352,0.92668,0.0015248,0.0015248,0.0015248
26,244.197,1.20322,0.63799,0.92405,0.90026,0.9128,0.93731,0.62655,1.1222,0.60555,0.91452,0.001505,0.001505,0.001505
27,251.976,1.17947,0.61139,0.91845,0.90637,0.91278,0.93988,0.62584,1.1328,0.59889,0.91971,0.0014852,0.0014852,0.0014852
28,259.701,1.18211,0.614,0.9187,0.89134,0.90628,0.92808,0.61176,1.13493,0.62264,0.92439,0.0014654,0.0014654,0.0014654
29,267.76,1.18719,0.62217,0.92008,0.89571,0.91423,0.93915,0.62211,1.13646,0.61109,0.92139,0.0014456,0.0014456,0.0014456
